Percentage,Segment,Accuracy,Sensibility,Specificity,Dice,Standard Deviation
0.01,1500,0.15103266591736006,0.6355138721161838,0.12569256038028484,0.7642587702753678,0.08097938989353112
0.05,1500,0.19742288965443885,0.8976647166763382,0.15423222447420312,0.927289222992677,0.13600596995031494
0.1,1500,0.17725804068680664,0.8835338216150939,0.12101220187305843,0.9194023517507567,0.14205749093775955
0.15,1500,0.17335796002286358,0.8861529775254466,0.11337173392871032,0.9208729240347473,0.14505676268015047
0.2,1500,0.18547249798765764,0.9028716613603928,0.13194218865093127,0.9284861778652302,0.14369169151325575
0.25,1500,0.2005737498494454,0.8711438026379762,0.16491515420477368,0.9107156032496866,0.12573627025987047
0.3,1500,0.21128535208351232,0.8840827465064851,0.18093268610487115,0.9180333208475154,0.12449751901908031
0.35,1500,0.22465285910261987,0.8772760778532331,0.20486061864914698,0.9141960579217467,0.1161525638490779
0.4,1500,0.2223814562322257,0.8661564279104782,0.20311291879600865,0.9097827967085919,0.11426564781033091
0.5,1500,0.2194769307686591,0.8182274431078559,0.207180209815485,0.8836476655854884,0.10219018099368771
0.01,2000,0.23138443892691146,0.9161399601637364,0.20899653662620726,0.9416752643796754,0.12571414937952058
0.05,2000,0.21217300978916157,0.9095999121720174,0.17761571648831284,0.9381060599933684,0.13309601936407373
0.1,2000,0.19266863500195466,0.9022443186273741,0.14492640902581747,0.9350117429075273,0.14098057599379643
0.15,2000,0.1829189531357596,0.9095999121720174,0.1259853687326431,0.9381060599933684,0.14850116162186985
0.2,2000,0.16082064578244062,0.8833769859318392,0.0907888897530802,0.9220531541338922,0.151697441046333
0.25,2000,0.16407918030148597,0.8260849108389141,0.10885608011968541,0.8899401885581049,0.13104765362049414
0.3,2000,0.16647541572583544,0.7729332977839118,0.12431544609809995,0.8572223720028176,0.11322889443453724
0.35,2000,0.186544033272808,0.8047238907796301,0.1534956284628019,0.8770190582001537,0.11330033047421983
0.4,2000,0.19058047032083225,0.8439014444566427,0.15278190810392867,0.8998068545723628,0.12312981185779333
0.5,2000,0.18746468694566717,0.824061730524929,0.15124923938455345,0.8880457011509795,0.11856379592524813
0.01,2500,0.17748202144060168,0.7166449710638164,0.1554263335361641,0.823285647364059,0.09253875743050388
0.05,2500,0.1693991371145954,0.9292043725788491,0.09718949733041135,0.9452976043270496,0.1622707353272177
0.1,2500,0.16915307732772225,0.9292043725788491,0.09673198427985158,0.9452976043270496,0.16241599961478734
0.15,2500,0.16259113383055393,0.9236210222549834,0.08563271767327163,0.9422936917476699,0.16434164121369016
0.2,2500,0.15658586551218193,0.8310252348614356,0.09399148110699858,0.8921872369085706,0.13649824417093398
0.25,2500,0.16539149026786232,0.8206270290616521,0.11239723113101802,0.885968996842114,0.12847789011976807
0.3,2500,0.1554192229038855,0.8076567180564922,0.09680518636794115,0.8757918725180911,0.12903491664067698
0.35,2500,0.1623860526259078,0.8017126456611409,0.11087371267265399,0.8754581263915051,0.12419687181728065
0.4,2500,0.16472027678803738,0.8195134957105441,0.11140442781130332,0.8862824916253231,0.1286600833635413
0.5,2500,0.15773546841508007,0.6761813647841157,0.12898665434431517,0.7944132740020086,0.08944779322118905
